saved,educ_low,female,age,educ,emp_in,mobileowner
1,1,2,18,2,1,1
0,1,2,61,2,1,1
0,1,2,21,2,1,2
1,1,1,31,2,1,1
0,0,2,35,3,1,1
1,1,2,20,2,1,1
0,1,2,46,2,2,1
1,1,2,29,2,1,1
1,0,2,43,3,1,1
1,0,2,28,3,1,1
0,1,2,18,2,1,1
0,1,2,36,1,1,1
0,1,1,18,2,2,1
0,1,2,18,2,2,1
0,1,1,49,2,2,1
1,1,1,52,1,1,1
0,1,2,44,2,1,1
1,1,1,31,2,1,1
0,1,1,52,2,1,1
0,1,2,40,2,1,1
1,1,2,50,1,1,1
1,1,1,45,1,1,1
0,1,1,21,2,2,1
1,1,2,40,1,1,1
1,1,1,34,2,2,1
1,0,1,73,3,1,1
0,1,1,49,2,1,1
1,0,1,32,3,1,1
1,0,2,60,3,1,1
0,1,2,15,2,2,1
0,0,1,38,3,1,1
0,1,1,36,1,1,1
0,1,1,66,2,1,1
0,1,1,65,2,1,1
0,1,2,36,2,1,1
1,1,1,47,2,1,1
0,1,2,43,1,1,1
0,1,2,47,1,1,1
0,1,1,28,2,1,1
0,1,2,17,2,2,1
0,1,1,20,2,1,1
1,1,2,33,2,1,1
0,1,1,29,2,2,1
1,1,2,59,2,1,1
0,1,1,30,2,2,1
1,0,2,28,3,1,1
1,0,1,31,3,1,1
1,0,2,39,3,1,1
0,1,2,33,1,1,1
0,1,1,36,2,1,1
0,1,1,63,2,2,1
0,1,1,43,2,1,1
0,1,1,60,2,2,1
1,1,2,23,2,1,1
0,1,2,44,2,1,1
0,1,1,40,2,1,1
0,1,2,20,2,1,1
0,1,1,25,2,2,1
0,1,1,74,1,2,1
1,1,2,62,2,1,1
0,1,2,22,2,1,1
0,1,2,28,1,1,1
1,0,1,23,3,1,1
1,1,1,19,2,1,1
0,1,1,27,2,2,1
0,1,2,24,2,1,1
1,1,2,51,2,1,1
0,1,1,23,2,1,1
0,1,2,25,2,1,1
0,0,1,59,4,1,1
0,1,1,65,2,1,1
0,1,1,60,1,2,1
1,0,1,30,3,1,1
0,1,1,61,1,2,1
0,1,1,45,2,1,1
0,1,1,21,2,1,1
0,1,2,39,2,1,1
0,0,1,36,3,1,1
1,1,2,59,1,1,1
0,1,1,67,1,1,2
1,0,2,27,3,1,1
0,1,1,26,1,1,1
1,1,1,18,2,1,1
0,1,2,17,2,1,1
1,1,1,31,2,1,1
1,0,2,34,3,1,1
1,1,2,33,2,1,1
0,1,2,36,1,1,1
0,1,1,48,2,1,1
1,1,1,30,2,1,1
1,1,1,35,1,1,1
1,0,2,37,3,1,1
1,1,2,21,2,1,1
1,1,2,28,2,1,1
1,1,1,28,2,1,1
0,1,1,19,2,1,1
0,1,2,38,1,1,1
0,1,1,48,2,1,1
1,1,1,41,2,1,1
0,1,1,22,2,2,1
0,1,1,40,2,1,1
1,1,1,46,2,2,1
1,1,1,35,2,2,1
0,1,1,32,2,1,1
1,0,2,56,3,1,1
0,0,1,24,3,1,1
0,1,2,43,1,1,1
1,1,2,40,2,1,1
